symbol,date,open,high,low,close,volume,adjclose,dividends,splits,rolling_30day_high,sma25,sma50,sma100,pc_sma25_by_close,pc_sma50_by_close,pc_sma25_by_sma100,mean_of_sma50_by_close_last_5_days
fcx,2023-03-31,40.2599983215332,41.099998474121094,40.22999954223633,40.90999984741211,11180100,40.90999984741211,0.0,0.0,43.880001068115234,39.233199768066406,41.29519989013672,40.114040298461916,4.273931489805538,-0.9327961694080981,2.9445041758112187,-4.998618443235995
fds,2023-03-31,413.2300109863281,415.2099914550781,410.70001220703125,415.0899963378906,236700,415.0899963378906,0.0,0.0,431.9100036621094,408.42400024414064,416.8942602539062,422.35998474121095,1.632126439622867,-0.43278694096597226,-1.2940914586531425,-2.7713559870956863
fdx,2023-03-31,224.99000549316406,228.86000061035156,224.82000732421875,228.49000549316406,1653400,228.49000549316406,0.0,0.0,228.86000061035156,210.86879699707032,206.25859252929686,190.55604110717775,8.356479833447601,10.778417854620754,8.24038499691923,9.133913651818919
fe,2023-03-31,39.68000030517578,40.099998474121094,39.560001373291016,40.060001373291016,3225700,40.060001373291016,0.0,0.0,41.380001068115234,39.29280014038086,39.81777938842774,40.12490074157715,1.9525236943388709,0.6083262014698764,-0.7654133654495879,-1.4788435012930856
ffiv,2023-03-31,143.83999633789062,146.2100067138672,143.2899932861328,145.69000244140625,477800,145.69000244140625,0.0,0.0,147.86000061035156,141.89599853515625,144.3393997192383,145.598699798584,2.6737920346006043,0.9357131350103209,-0.8649116242712174,-1.60464788216051
fico,2023-03-31,696.4000244140625,703.02001953125,694.7100219726562,702.6900024414062,364000,702.6900024414062,0.0,0.0,711.8499755859375,687.7063989257813,679.1661987304688,636.7125003051758,2.1787791329308286,3.4636299266526165,6.6676401680420785,2.478457669235805
fis,2023-03-31,52.68000030517578,54.439998626708984,52.560001373291016,54.33000183105469,7492400,54.33000183105469,0.0,0.0,69.6500015258789,55.7472688293457,63.63323707580567,65.3119287109375,-2.5423075032241838,-14.62008797960117,-2.5702680479112905,-19.499789829653825
fisv,2023-03-31,113.79000091552734,113.9000015258789,112.5999984741211,113.02999877929688,3874100,113.02999877929688,0.0,0.0,119.4800033569336,112.87959899902344,111.92779953002929,106.45449974060058,0.13323911637454786,0.9847412831267841,5.141445220977588,0.5771595328689669
fitb,2023-03-31,26.600000381469727,26.770000457763672,26.270000457763672,26.639999389648438,7363000,26.639999389648438,0.0,0.0,37.04999923706055,29.22379020690918,32.675833015441896,33.052652797698975,-8.841395311720632,-18.47185846169875,-1.140059118895633,-20.084035307228117
flt,2023-03-31,207.52999877929688,211.24000549316406,206.57000732421875,210.85000610351562,561600,210.85000610351562,0.0,0.0,216.5500030517578,203.63480041503905,205.98520050048828,196.94480010986328,3.5432085644353877,2.3617257896233266,4.590321950913108,0.2588168266623947
